test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
12019,CA 125,,CA-125,251; 1554; 2590,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12020,CA 19-9,,CA-19-9,252; 2594,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12022,Cortisol PM,,Cortisol PM,257; 987; 2253; 2615; 2865,5 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12026,CRP (HIGH SENSITIVITY),,CRP (High Sensitivity),263; 1497; 1583; 1642; 1715; 2068; 2171; 2659,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12027,Serum Folic Acid,,Folic Acid,265; 1222; 1350; 2860,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12029,PIVKA-II,,PIVKA-II,304; 1351,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12030,R.A FACTOR (QUANTITATIVE),,R.A. Factor (Quantitative),1; 305; 884; 966; 1254; 1519; 2107; 2579; 2771,9 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12031,Stool for Calprotectin,,Stool for Calprotectin,307; 1352; 2391,3 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12032,Stool for H. Pylori Antigen,,Stool for H. Pylori Antigen,309; 909; 1001; 1303; 1909; 2361; 2674,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12297,C-Reactive Protien (CRP) (Quantitative),,C-Reactive Protein (CRP),250; 1081; 1256; 1620; 1649; 2014; 2182; 2353; 2817; 2905,10 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
