test_id,test_name,status,reason,mapped_parameter_count
848,FREE TESTOSTERONE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
849,FSH,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
851,Intact parathyroid hormone (i PTH) (FASTING),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
852,LH,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
854,PTH (FASTING),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
855,Serum Prolactin,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
856,Total T3,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
857,Total T4,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
858,Serum Testosterone,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
860,TSH,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
861,FREE T3,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
862,FREE T4,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
951,BIOPSY SLIDE FOR REVIEW,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
1112,P.S.A. Total,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1290,25-OH Vitamin D3,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1291,17-OH PROGESTERONE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1292,ACTH - Adrenocorticotropic hormone,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1293,Adenosine Deaminase (ADA)- Serum,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1294,Aldosterone level,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1296,ANCA - P (MPO ANTIBODIES),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1297,ANCA-C (P-3 ANTIBODIES),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1298,ANCA-C IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1299,ANCA-C IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1300,ANDROGEN LEVEL,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1301,ANTI CARDIOLIPIN IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1302,ANTI CARDIOLIPIN IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1304,Anti Endomysial IgA,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1305,Anti Endomysial IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1307,Anti Gliadin IgA,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1308,Anti Gliadin IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
