"app","file","line","sdk_call","method","path"
"admin","apps/admin/src/app/(protected)/feature-flags/page.tsx","84","client.GET","GET","/tenants"
"admin","apps/admin/src/app/(protected)/feature-flags/page.tsx","85","client.GET","GET","/feature-flags/definitions"
"admin","apps/admin/src/app/(protected)/feature-flags/page.tsx","101","client.GET","GET","/tenants/{tenantId}/feature-flags"
"admin","apps/admin/src/app/(protected)/feature-flags/page.tsx","117","client.PUT","PUT","/tenants/{tenantId}/feature-flags"
"admin","apps/admin/src/app/(protected)/feature-flags/page.tsx","138","client.PUT","PUT","/tenants/{tenantId}/feature-flags"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","26","client.GET","GET","/jobs"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","27","client.GET","GET","/jobs/failed"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","28","client.GET","GET","/catalog/import-jobs"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","29","client.GET","GET","/catalog/export-jobs"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","30","client.GET","GET","/documents"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","50","client.POST","POST","/jobs/${pendingRetry.id}:retry"
"admin","apps/admin/src/app/(protected)/jobs/page.tsx","52","client.POST","POST","/documents/{id}:publish"
"admin","apps/admin/src/app/(protected)/opd/doctors/page.tsx","109","client.GET","GET","/opd/doctors"
"admin","apps/admin/src/app/(protected)/opd/doctors/page.tsx","150","client.POST","POST","/opd/doctors"
"admin","apps/admin/src/app/(protected)/opd/doctors/page.tsx","191","client.PATCH","PATCH","/opd/doctors/{doctorId}"
"admin","apps/admin/src/app/(protected)/opd/doctors/page.tsx","228","client.PATCH","PATCH","/opd/doctors/{doctorId}"
"admin","apps/admin/src/app/(protected)/opd/feature-flags/page.tsx","27","client.GET","GET","/me"
"admin","apps/admin/src/app/(protected)/opd/feature-flags/page.tsx","27","client.GET","GET","/tenants"
