app,file,line,method,path,sdk_call,openapi_operationId
admin,apps/admin/src/app/(protected)/ops/page.tsx,74,POST,/ops/healthcheck:run,client.POST,runHealthcheck
admin,apps/admin/src/app/(protected)/ops/restore/page.tsx,46,GET,/ops/runs,client.GET,listOpsRuns
admin,apps/admin/src/app/(protected)/ops/restore/page.tsx,47,GET,/ops/runs,client.GET,listOpsRuns
admin,apps/admin/src/app/(protected)/ops/restore/page.tsx,65,POST,/ops/restores/full:dryRun,client.POST,runRestoreFullDryRun
admin,apps/admin/src/app/(protected)/ops/restore/page.tsx,75,GET,/ops/runs/{id},client.GET,getOpsRun
admin,apps/admin/src/app/(protected)/ops/restore/page.tsx,96,POST,/ops/restores/full:run,client.POST,runRestoreFull
admin,apps/admin/src/app/(protected)/ops/schedules/page.tsx,40,GET,/ops/schedules,client.GET,listOpsSchedules
admin,apps/admin/src/app/(protected)/ops/schedules/page.tsx,41,GET,/ops/storage-targets,client.GET,listOpsStorageTargets
admin,apps/admin/src/app/(protected)/ops/schedules/page.tsx,53,POST,/ops/schedules/{id}:toggle,client.POST,toggleOpsSchedule
admin,apps/admin/src/app/(protected)/ops/schedules/page.tsx,64,POST,/ops/schedules:create,client.POST,createOpsSchedule
admin,apps/admin/src/app/(protected)/ops/storage/page.tsx,53,GET,/ops/storage-targets,client.GET,listOpsStorageTargets
