parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2232,t2316,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2316,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2316,,,,1.0-6.0,1.0,6.0,,,%,
p2253,t2316,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2316,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2316,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2316,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2165,t2316,F,,,,,20.0,,,mm/1st hr,
p2165,t2316,M,,,,,10.0,,,mm/1st hr,
p2201,t2317,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2201,t2317,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2317,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2317,F,,,36.0-46.0,36.0,46.0,,,%,
p2371,t2317,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2271,t2317,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2293,t2317,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2239,t2317,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2317,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2317,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2317,,,,11.0-16.0,11.0,16.0,,,%,
p2254,t2317,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2317,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2317,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2317,,,,1.0-6.0,1.0,6.0,,,%,
p2253,t2317,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2317,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2317,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2317,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2165,t2317,F,,,,,20.0,,,mm/1st hr,
p2165,t2317,M,,,,,10.0,,,mm/1st hr,
p2201,t2318,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2201,t2318,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2318,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2318,F,,,36.0-46.0,36.0,46.0,,,%,
p2371,t2318,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2271,t2318,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2293,t2318,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2239,t2318,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2318,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2318,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2318,,,,11.0-16.0,11.0,16.0,,,%,
p2254,t2318,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2318,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2318,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2318,,,,1.0-6.0,1.0,6.0,,,%,
p2253,t2318,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2318,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2318,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2318,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2165,t2318,F,,,,,20.0,,,mm/1st hr,
p2165,t2318,M,,,,,10.0,,,mm/1st hr,
p2160,t2318,F,,,,,20.0,,,mm/1st hr,
p2160,t2318,M,,,,,10.0,,,mm/1st hr,
p2201,t2319,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2201,t2319,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2200,t2319,,,,40.0-52.0,40.0,52.0,,,%,
p2293,t2319,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2239,t2319,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2319,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2319,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2319,,,,11.0-16.0,11.0,16.0,,,%,
p2265,t2026,,,,,,,,,,MANUAL_REVIEW: Neutral
p2051,t2076,,,,,,,,,S/CO,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2
p2246,t2082,,,,,,,,,,MANUAL_REVIEW: Negative : < 9.0Grey zone :9.0 to 11.0Positive : > 11.0
p2312,t2086,,,,,,,,,,MANUAL_REVIEW: Negative
p2310,t2086,,,,,,,,,,MANUAL_REVIEW: Negative
p2314,t2282,,,,,,,,,Ratio,MANUAL_REVIEW: Significant Titer 1:80
p2313,t2282,,,,,,,,,Ratio,MANUAL_REVIEW: Significant Titer 1:80
p2309,t2282,,,,,,,,,Ratio,MANUAL_REVIEW: Significant Titer 1:80
p2311,t2282,,,,,,,,,Ratio,MANUAL_REVIEW: Significant Titer 1:80
p2355,t2283,,,,,,,,,,MANUAL_REVIEW: Negative
p2354,t2283,,,,,,,,,,MANUAL_REVIEW: Negative
p2366,t2285,,,,,,,,,,MANUAL_REVIEW: Negative
p2342,t2289,,,,,,,,,,MANUAL_REVIEW: Negative
p2341,t2289,,,,,,,,,,MANUAL_REVIEW: Negative
p2052,t2290,,,,,,,,,-,MANUAL_REVIEW: Non- Reactive
p2191,t2309,,,,,,,,,,MANUAL_REVIEW: Negative
p2193,t2309,,,,,,,,,,MANUAL_REVIEW: Negative
p2087,t2096,,,,,,,,,U/ml,MANUAL_REVIEW: Negative < 10.0Positive > 10.0
p2088,t2097,,,,,,,,,U/ml,MANUAL_REVIEW: Negative < 10.0Positive > 10.0
p2319,t2103,M,,,0.7-1.2,0.7,1.2,,,mg/dl,
p2319,t2103,F,,,0.6-1.1,0.6,1.1,,,mg/dl,
p2359,t2103,,,,60.0-166.0,60.0,166.0,,,mg/dl,
p2144,t2103,,,,90.0-120.0,90.0,120.0,,,ml/min,
p2211,t2106,,,,,,190.0,,,IU/ml,parsed as less_than from: Less Than 190
p2130,t2281,,,,,,,,,,MANUAL_REVIEW: Pale Yellow - Yellow
p2077,t2281,,,,,,,,,,MANUAL_REVIEW: Clear
p2332,t2281,,,,1.005-1.025,1.005,1.025,,,,
p2265,t2281,,,,4.5-7.5,4.5,7.5,,,,
p2278,t2281,,,,,,,,,,MANUAL_REVIEW: Negative
p2180,t2281,,,,,,,,,,MANUAL_REVIEW: Negative
p2222,t2281,,,,,,,,,,MANUAL_REVIEW: Negative
p2090,t2281,,,,,,,,,,MANUAL_REVIEW: Negative
p2255,t2281,,,,,,,,,,MANUAL_REVIEW: Negative
p2096,t2281,,,,,,,,,,MANUAL_REVIEW: Negative
p2365,t2281,,,,,,,,,umol/L,MANUAL_REVIEW: Normal: 3-25Increased: >25
p2285,t2281,,,,0.0-5.0,0.0,5.0,,,,
p2294,t2281,,,,0.0-3.0,0.0,3.0,,,,
p2164,t2281,,,,0.0-10.0,0.0,10.0,,,,
